RIP1	RIP2	RIP3	RIP4	RIP5	RIP6	ID	seqnames	start	end	GeneID	
83	0.843585948	0.61942561	0.403560718	0.221421739	0.77105494	0.339680041	ref90	chr1	17004341	17004741	Jph1
84	-1.070684178	-0.660682309	-1.284495276	-0.430654958	-1.45924268	-2.685855051	ref91	chr1	17015958	17016358	Jph1
85	1.671819599	0.674920722	1.885429725	0.849452962	0.266582357	0.339680041	ref92	chr1	17045132	17045532	Jph1
86	1.97034309	0.969368081	2.802967565	1.285552076	1.348112242	1.045948838	ref93	chr1	17045977	17046377	Jph1
87	2.326908187	0.779890282	2.287046709	1.552067051	1.917133199	1.924642542	ref94	chr1	17046445	17046845	Jph1
88	1.568726106	0.61942561	1.100168574	0.731616471	0.862685415	-0.207807754	ref95	chr1	17046852	17047252	Jph1
89	4.998713947	4.26214983	4.712997868	4.469349252	4.525066223	4.070939517	ref96	chr1	17091260	17091660	Jph1
90	2.049055066	2.871812772	3.076961183	1.68482226	2.000188939	1.907669463	ref98	chr1	17629461	17629861	Pi15
91	-1.963768974	-5.052999732	-0.062102855	-3.23800988	-5.159682398	-3.171281878	ref99	chr1	17684753	17685153	Gm16070
92	9.228964156	9.449645633	8.69612036	8.423916636	8.229007629	8.153461232	ref100	chr1	17712361	17712761	Gm16070
93	-0.24756194	0.304552273	-0.062102855	0.958387333	1.107104143	0.916180963	ref101	chr1	20058053	20058453	Pkhd1
94	1.010235817	-0.660682309	0.903131727	1.652761051	1.180167605	1.60482211	ref102	chr1	20088541	20089590	Pkhd1
95	-2.449195802	-2.24564481	0.189435912	-0.068084878	-0.205486088	-1.405747132	ref103	chr1	20090042	20090442	Pkhd1
96	-0.016236394	-1.352560014	-0.753980559	-0.430654958	0.197869607	0.615314484	ref104	chr1	20099398	20099798	Pkhd1
97	0.956796558	-0.660682309	1.100168574	2.275059703	1.469674222	2.128841846	ref105	chr1	20100720	20101356	Pkhd1
98	-1.311692278	-3.468037231	-1.284495276	-0.735509539	-0.636120442	-0.635228978	ref106	chr1	20101447	20101847	Pkhd1
99	0.358159121	0.232402487	0.189435912	2.047392339	1.283261098	1.686699117	ref107	chr1	20117034	20117434	Pkhd1
100	-0.523196383	-0.805072219	0.069141679	0.791737464	0.512742944	-0.969648017	ref108	chr1	20191495	20191895	Pkhd1
101	0.655140858	0.877737605	1.611668913	2.210450621	2.000188939	2.294692586	ref109	chr1	20200557	20201319	Pkhd1
102	2.049055066	1.213786809	2.511364007	2.964930179	2.67952139	2.395533276	ref110	chr1	20232149	20232857	Pkhd1
103	0.901301446	-0.195018737	0.499776033	1.716186431	1.348112242	1.974395577	ref111	chr1	20233452	20234039	Pkhd1
104	0.438329469	0.674920722	1.160289567	1.776940462	1.180167605	1.274974352	ref112	chr1	20253965	20254365	Pkhd1
105	-0.127267707	-0.098803422	1.428222772	1.326774739	0.817597526	1.583605624	ref113	chr1	20255203	20255603	Pkhd1
106	3.76415148	2.106871605	3.167631542	2.870514577	2.800319534	2.721109148	ref114	chr1	20319692	20320645	Pkhd1
107	2.408785194	1.454794908	2.021313153	2.560731912	2.258170117	2.383306973	ref115	chr1	20389642	20390042	Pkhd1
108	-0.127267707	-0.805072219	-1.284495276	-0.179116191	-1.072219557	-0.849353783	ref117	chr1	20424280	20424680	Pkhd1
109	1.457694794	0.156453634	1.160289567	0.668880716	0.568238057	0.437527364	ref118	chr1	20426083	20426483	Pkhd1
110	0.514278322	-1.352560014	-0.994988659	-0.299410424	-0.767364975	-0.539013663	ref119	chr1	20426683	20427083	Pkhd1
111	-0.127267707	0.373265023	-0.994988659	0.13122393	0.621677316	0.916180963	ref120	chr1	20432508	20432908	Pkhd1
112	4.168455318	3.474477274	3.659321889	3.743081658	2.995135711	3.575568305	ref122	chr1	20486384	20487702	Pkhd1
113	1.010235817	-0.098803422	1.160289567	0.534579624	0.049770968	-0.448815854	ref123	chr1	20574480	20575194	Pkhd1
114	3.980420163	4.192552974	4.276898754	4.128312335	3.940979941	4.299580321	ref124	chr1	20935605	20936005	Paqr8
115	2.284158539	2.430816045	2.339995589	2.660843397	2.402560026	2.345993815	ref125	chr1	20936360	20936992	Paqr8
116	2.21756079	2.295728422	1.567947536	1.480808368	1.608501927	1.907669463	ref126	chr1	20937607	20938007	Paqr8
117	0.438329469	0.779890282	1.885429725	0.668880716	0.621677316	0.881829458	ref127	chr1	20938075	20938475	Paqr8
118	0.183072414	0.61942561	2.053374363	-2.015617458	-0.515826208	-1.792770255	ref128	chr1	21401908	21402308	Kcnq5
119	-0.016236394	0.373265023	-0.062102855	-1.122532662	-1.252791802	-0.738322471	ref129	chr1	21586109	21586509	Kcnq5
120	0.901301446	-0.29811223	1.100168574	-0.735509539	-2.352327476	-1.586319378	ref130	chr1	21878043	21878443	Kcnq5
121	0.273270223	0.779890282	1.326939436	-3.23800988	-2.837754303	-3.908247473	ref131	chr1	21878768	21879168	Kcnq5
122	5.434669353	4.840301799	4.742796416	4.523541353	4.177939504	4.086105964	ref132	chr1	23369482	23369882	Ogfrl1
123	4.800628747	4.311134923	5.039435172	5.181248086	4.965731073	4.880742682	ref133	chr1	24028359	24028759	Fam135a
124	4.863687154	4.815822823	5.023337989	4.844139162	4.855732654	4.482637995	ref134	chr1	24028797	24029197	Fam135a
125	3.39378303	3.664676691	3.528573297	3.113665559	2.911779965	3.13249887	ref135	chr1	24029511	24029911	Fam135a
126	-2.449195802	0.156453634	-1.284495276	-0.735509539	-0.911754884	-1.405747132	ref136	chr1	24721447	24722217	Lmbrd1
127	0.086857099	-0.529437776	-0.062102855	0.668880716	0.332170698	0.52915784	ref137	chr1	24722842	24723428	Lmbrd1
128	-0.378806474	-0.409143542	0.189435912	-1.122532662	-0.404794896	-0.363926956	ref138	chr1	24727346	24727746	Lmbrd1
129	0.586428108	1.486159079	0.403560718	1.366852179	1.806101887	1.990605804	ref139	chr1	24763388	24763788	Lmbrd1
130	1.294965294	1.454794908	1.567947536	0.13122393	-0.404794896	0.061378878	ref140	chr1	25093875	25094275	Adgrb3
131	-0.523196383	-0.098803422	-0.753980559	-0.575044867	-1.252791802	-0.969648017	ref141	chr1	25122187	25122587	Adgrb3
132	-0.24756194	0.304552273	-0.366957436	-1.653047379	-1.252791802	-2.685855051	ref142	chr1	25139176	25139576	Adgrb3
133	1.828788946	-0.195018737	1.522859646	1.199395433	0.673207616	0.84664003	ref143	chr1	25329629	25330219	Adgrb3
134	1.828788946	0.674920722	1.611668913	1.835239102	1.030142161	1.193290554	ref144	chr1	25404077	25404628	Adgrb3
135	1.111519153	1.792490319	-0.366957436	-2.015617458	-0.404794896	-2.685855051	ref145	chr1	25808606	25809006	Adgrb3
136	10.58467453	9.63257036	9.79194921	9.274648292	8.946144286	8.962181468	ref146	chr1	30803779	30804179	Phf3
137	5.635081109	4.468600708	5.486627329	4.963297247	4.646061474	4.61138878	ref147	chr1	30804326	30804726	Phf3
138	9.597996289	8.476064733	9.021693027	8.495994025	8.307286229	8.245832226	ref148	chr1	30804947	30805347	Phf3
139	6.753907449	6.471052187	6.399668902	5.703526859	5.609328923	5.534004912	ref149	chr1	30805536	30806011	Phf3
140	5.739640271	4.840301799	5.660623373	4.837023512	4.563125133	4.54981731	ref150	chr1	30821116	30821516	Phf3
141	5.844505741	5.069828263	5.154758461	4.847683869	4.593534351	4.369427384	ref151	chr1	30824226	30824626	Phf3
142	8.260749579	7.874593067	8.127486412	7.660087598	7.346377191	7.132727126	ref152	chr1	30829513	30830605	Phf3
143	8.008390283	7.918364192	7.592362693	7.139562183	6.834317394	6.780876932	ref153	chr1	30830811	30831211	Phf3
144	-1.963768974	-1.352560014	0.189435912	-2.501044285	-2.837754303	-2.323284972	ref154	chr1	31169918	31170318	4931428L18Rik
145	5.050650086	4.683402199	4.581753335	3.961662465	3.92512599	4.421175159	ref155	chr1	32378404	32378804	Khdrbs2
146	4.248466832	4.230088621	4.614358	3.780653965	4.081108934	3.76653329	ref156	chr1	33623681	33624081	Prim2
147	5.218980067	4.797187106	4.356151357	3.248489982	2.788684834	2.74996401	ref157	chr1	33739509	33739909	Rab23
148	7.184889182	6.661675095	6.731074647	6.476808022	6.140098005	5.856071256	ref158	chr1	33776373	33776977	Zfp451
149	5.307026911	5.172207705	4.878735073	4.575771312	4.305884007	4.097377077	ref159	chr1	33777081	33777481	Zfp451
150	3.10539305	3.091658511	3.196631414	2.784357933	2.059486123	2.370976171	ref160	chr1	33801334	33801734	Zfp451
151	7.126343445	7.174315368	7.319954995	6.636971468	6.434175541	6.188467682	ref161	chr1	33802195	33802595	Zfp451
152	4.132757949	4.144216961	4.576246859	4.282936128	3.631480491	3.458074742	ref162	chr1	33802611	33803270	Zfp451
153	2.577604258	1.422733699	2.115435331	1.480808368	1.41017321	1.193290554	ref163	chr1	33835717	33836117	Gm15455
154	2.21756079	2.626480367	2.511364007	1.552067051	1.180167605	0.949733523	ref164	chr1	33838381	33838781	Gm15455
155	2.147739341	2.430816045	2.996790834	0.731616471	1.107104143	1.014584667	ref165	chr1	34121849	34122249	Dst
156	6.322293668	6.488580928	6.364960513	5.23637208	4.973459815	4.748773176	ref166	chr1	34177791	34178191	Dst
157	6.993333067	7.225740094	7.336335473	6.083166616	5.888123156	5.677341062	ref167	chr1	34178269	34178875	Dst
158	5.943980113	5.917825169	6.451718719	5.12685433	5.070338038	4.753530625	ref168	chr1	34179086	34179486	Dst
159	6.429161709	6.588600484	6.576936319	5.871385507	5.378506534	5.250782888	ref169	chr1	34179759	34180547	Dst
160	5.317664342	5.399241508	5.647555393	4.139923625	3.791602317	3.434567989	ref170	chr1	34180945	34181727	Dst
161	4.180160819	4.556179006	4.847075917	4.128312335	3.85990833	3.723535885	ref171	chr1	34187930	34188330	Dst
162	7.075541785	7.099602012	7.523217413	7.101469012	6.877521343	6.788430327	ref172	chr1	34188732	34189132	Dst
163	5.536076913	5.975597045	5.96237725	5.495570429	5.388176108	5.324573149	ref173	chr1	34189344	34189744	Dst
164	5.542892807	5.727540035	5.987486427	5.550980275	5.504764887	5.40690209	ref174	chr1	34189804	34190204	Dst
165	7.291259595	7.638525709	7.695644302	7.197660381	7.035997388	7.118045415	ref175	chr1	34190370	34191187	Dst
166	9.266337262	9.099998041	9.58629753	9.078743044	8.944506813	8.916247262	ref176	chr1	34191640	34192136	Dst
167	6.998300745	7.220504502	7.704504926	6.988803675	6.730961886	6.618251767	ref177	chr1	34192329	34193264	Dst
168	5.873633696	6.033799954	6.034424069	5.421391455	5.096526291	5.158738637	ref178	chr1	34199182	34199582	Dst
169	6.5748357	6.777119293	6.672929264	6.312095565	6.459161904	6.37754003	ref179	chr1	34201058	34201458	Dst
170	5.617969625	5.634375951	6.193937305	6.251838081	6.06973729	5.913526509	ref180	chr1	34225656	34226056	Dst
171	8.689971804	8.525019083	8.850358826	8.649083777	8.437788253	8.405674786	ref181	chr1	34227801	34228201	Dst
172	6.733198552	6.914586795	7.154296577	6.556947437	6.358478958	6.262094915	ref182	chr1	34228432	34228832	Dst
173	6.160352337	6.373789163	6.560297652	6.383431534	5.994502811	5.96980344	ref183	chr1	34228875	34229275	Dst
174	4.360733064	5.092932414	5.261541713	4.303732092	4.05706346	4.188028439	ref184	chr1	34237671	34238071	Dst
175	5.470859253	5.534777784	6.034424069	5.661850514	5.282224307	5.335719854	ref185	chr1	34307309	34307709	Dst
176	0.783464955	1.213786809	0.589973842	0.791737464	-0.404794896	-0.363926956	ref186	chr1	34803051	34803451	Arhgef4
177	-0.864233301	-2.24564481	-0.994988659	-0.735509539	-3.574719897	-0.135657969	ref187	chr1	34859218	34859618	Plekhb2
178	8.459346936	8.614222714	8.380643215	7.986594802	7.579043225	7.474556655	ref188	chr1	36103962	36104362	Hs6st1
179	4.248466832	4.073704741	4.837901355	4.829872593	4.022711956	3.964170906	ref189	chr1	36104614	36105014	Hs6st1
180	6.452274518	5.629117033	6.101127494	5.589597466	5.031376817	5.185390166	ref190	chr1	36106029	36106429	Hs6st1
181	7.091900814	7.442105778	7.500866368	6.889984441	6.562698237	6.375998277	ref191	chr1	36143857	36144257	Uggt1
182	1.63826704	2.364852783	3.293772572	1.776940462	1.710682322	2.172125944	ref193	chr1	36177658	36178058	Uggt1
183	1.97034309	1.422733699	1.812366263	1.285552076	0.512742944	-0.207807754	ref194	chr1	36319080	36319480	Arid5a
184	1.111519153	1.250781016	0.069141679	0.731616471	0.906406793	-0.135657969	ref195	chr1	36320317	36320717	Arid5a
185	7.828556534	7.673005499	7.607288427	7.238061221	7.022401532	6.925433276	ref196	chr1	36335764	36336164	Kansl3
186	2.806304932	2.414605818	3.21091564	3.182652169	2.654098793	2.859936852	ref197	chr1	36423824	36424224	Lman2l
187	1.858232724	1.516855876	2.600862158	2.165712306	1.498529085	1.745194766	ref198	chr1	36426085	36426485	Lman2l
188	2.284158539	2.883638207	2.23208025	1.059670669	0.722960651	1.165001509	ref199	chr1	36472122	36472522	Cnnm4
189	3.890654201	4.197298686	4.707971051	2.91173724	2.811861156	2.953873253	ref200	chr1	36472644	36473044	Cnnm4
190	-0.864233301	-0.529437776	1.428222772	-1.363540762	-2.837754303	-0.635228978	ref201	chr1	36497817	36498217	Cnnm4
191	3.802523291	4.34574396	3.573485719	3.331845729	3.523312186	3.147034963	ref202	chr1	36511909	36512309	Cnnm3
192	5.950829716	6.497266075	6.217120789	6.105545995	5.839612989	5.703392153	ref203	chr1	36512777	36513177	Cnnm3
193	4.376081029	4.683402199	5.12489566	4.702548429	4.539022269	4.690425408	ref204	chr1	36518772	36519172	Cnnm3
194	2.680087215	2.478381728	2.725488813	1.891273137	2.116442007	1.326968989	ref205	chr1	36526671	36527071	Cnnm3
195	5.244291156	6.052254048	5.966592578	4.272424642	4.05706346	3.988589458	ref206	chr1	36549136	36550177	Sema4c
196	2.612580396	3.190174251	2.876496601	3.810022817	3.972174563	3.960060661	ref207	chr1	36590435	36591000	Fam178b
197	2.347817176	2.524429096	2.745252067	2.870514577	2.704503747	2.630911339	ref208	chr1	36675706	36676332	Fam178b
198	1.63826704	0.61942561	1.326939436	-1.122532662	-0.767364975	-0.283756608	ref209	chr1	36780151	36780551	Zap70
199	7.250897073	6.749112687	7.793210599	8.032480129	8.094608107	7.951157895	ref210	chr1	36792251	36792651	Tmem131
200	6.76851961	6.590405545	7.575212051	7.5354041	6.955035991	7.186929745	ref211	chr1	36807831	36808453	Tmem131
201	5.193216971	3.650903841	5.583126676	4.658827051	4.986249748	4.927802883	ref212	chr1	36866723	36867123	Tmem131
202	3.76415148	2.847867076	3.788753706	3.476235638	3.657301225	3.6941421	ref213	chr1	36867315	36867715	Tmem131
203	7.003251376	6.839163578	6.195733936	4.432056189	4.213182662	4.263346349	ref214	chr1	37261347	37261747	Cnga3
204	4.502671703	4.18301446	3.950721186	2.577907056	2.134938351	1.745194766	ref215	chr1	37420175	37420575	Coa5
205	2.728721991	3.01846263	3.740336577	2.799079439	2.716834549	2.778253055	ref216	chr1	37487386	37487786	4930594C11Rik
206	3.708656368	3.832696641	3.967644489	2.842363537	3.11178063	2.886168394	ref218	chr1	37487870	37488556	4930594C11Rik
207	-1.311692278	0.373265023	-0.753980559	-0.179116191	-2.352327476	-0.001356877	ref221	chr1	37787558	37787958	Tsga10
208	4.020038992	3.497747053	3.307130955	2.72392208	2.371699063	2.307689927	ref222	chr1	37875485	37876045	Lipt1
209	3.537215134	2.747900168	3.13803676	1.44381416	1.440230444	1.352280078	ref223	chr1	37878910	37879310	Mitd1
210	2.262299105	2.259883223	2.053374363	1.619971115	1.41017321	1.193290554	ref224	chr1	37986648	37987048	Txndc9
211	5.928448557	4.873296263	4.63038811	4.473943827	4.277029144	4.208962712	ref225	chr1	38017640	38018270	Eif5b
212	9.916962461	9.100473133	9.229780435	8.735089528	8.448456893	8.304350236	ref226	chr1	38018865	38019689	Eif5b
213	8.065518253	7.044703231	6.895966465	6.477952111	6.256587347	6.141147328	ref227	chr1	38021412	38021812	Eif5b
214	6.86414076	5.844089396	5.558204261	5.132677527	4.556279592	4.634784348	ref228	chr1	38021973	38022373	Eif5b
215	6.228171491	4.858392256	4.87425465	4.196618348	4.100060866	3.947659194	ref229	chr1	38032086	38032486	Eif5b
216	5.660373708	4.617656517	5.027379154	4.473943827	4.09061602	3.596902446	ref230	chr1	38032888	38033288	Eif5b
217	5.122177634	4.216126947	4.323656852	3.704504626	3.443943947	3.39857373	ref231	chr1	38033831	38034231	Eif5b
218	7.483609493	6.814665116	6.377678569	5.850336695	5.374620485	5.500436087	ref232	chr1	38035830	38036382	Eif5b
219	4.895987646	4.202028838	5.322012755	3.503457107	3.295644822	3.542963639	ref233	chr1	38060918	38061576	Rev1
220	5.637205844	5.483247484	6.578314251	4.702548429	4.521556014	4.494054039	ref234	chr1	38061843	38062631	Rev1
221	5.492145304	4.890980182	5.477794474	4.417818952	4.408273678	3.996637987	ref235	chr1	38085459	38085859	Rev1
222	8.543884107	8.684353253	8.421904809	7.287184639	7.184890925	6.906334993	ref236	chr1	38088257	38088657	Rev1
223	3.67595933	2.811186413	3.182204343	2.938578852	2.561416791	2.501143464	ref237	chr1	38091903	38092303	Rev1
224	0.586428108	-0.805072219	-1.647065355	-2.501044285	-0.911754884	-2.323284972	ref239	chr1	38207839	38208239	Aff3
225	3.042657295	2.524429096	2.802967565	2.165712306	1.710682322	1.449304532	ref240	chr1	38209450	38210126	Aff3
226	2.523496852	0.232402487	0.403560718	1.059670669	0.568238057	0.572879217	ref241	chr1	38797360	38797760	Lonrf2
227	2.368427456	1.865863505	2.25982524	2.188254875	1.735135365	1.472574311	ref242	chr1	38863830	38864230	Chst10
228	3.016778663	3.209095113	3.333482282	3.331845729	2.933074743	2.920417956	ref243	chr1	38864327	38864888	Chst10
