	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
Ccnj	205	693	226	659	838	903	201	723	627	945	488	1087
Ccnjl	39	181	81	175	315	251	74	134	224	290	154	283
Ccnk	887	1389	751	1176	3289	1748	826	1254	2372	1984	1702	1939
Ccnl1	1021	994	830	1190	2492	1114	834	1256	1887	1392	1812	2067
Ccnl2	801	1910	1110	2881	3333	2701	1171	3477	2603	3124	2677	5389
Ccno	12	314	6	85	68	620	2	83	25	897	9	209
Ccnt1	626	1082	499	883	1696	1303	480	892	1370	1406	1071	1287
Ccnt2	3105	2313	2618	2672	6661	3050	2517	2827	5515	3423	5625	4291
Ccny	769	1866	594	1497	2905	2235	656	1530	2242	2444	1346	2310
Ccnyl1	545	1152	545	1028	2575	1428	568	1013	1894	1600	1239	1463
Ccp110	980	2070	837	2066	3534	2543	926	2248	2579	2927	1852	3095
Ccpg1	535	810	517	1018	1127	961	552	1134	867	1212	1200	1798
Ccpg1os	18	27	19	28	60	34	23	29	42	54	54	73
Ccr1	0	1	0	0	0	3	0	0	0	3	0	2
Ccr10	0	4	0	5	0	2	0	4	1	4	1	4
Ccr1l1	0	3	0	15	0	16	0	11	1	13	0	16
Ccr2	0	3	0	1	0	1	0	0	0	3	0	0
Ccr3	0	5	0	0	0	4	0	0	0	4	0	2
Ccr4	8	228	15	289	47	347	17	285	31	386	51	317
Ccr5	0	0	0	0	0	0	0	0	0	1	0	1
Ccr6	0	0	1	2	3	0	0	0	7	0	5	1
Ccr7	0	12	0	0	2	11	0	0	1	13	2	2
Ccr8	0	6	0	2	6	12	0	3	3	9	1	13
Ccr9	0	2	0	2	3	5	3	1	4	2	3	2
Ccrl2	0	1	0	1	1	2	0	0	2	3	0	0
Ccrn4l	384	6992	700	4439	3856	8274	750	4747	2620	10199	1301	7454
Ccs	176	356	206	306	797	535	220	340	631	612	502	556
Ccsap	132	182	138	234	284	224	108	263	245	224	248	377
Ccser1	5	25	3	10	6	14	1	9	9	20	3	11
Ccser2	780	1625	583	1786	1367	1805	514	1788	1146	2049	1069	2735
Cct2	4896	9933	4109	7467	26863	12542	4552	7921	20716	14391	9323	12855
Cct3	3978	8612	3448	5733	22569	11636	4013	6383	17986	13825	7858	10022
Cct4	4230	5671	3368	4651	20422	7538	3831	5286	15914	8973	7337	8106
Cct5	4419	8159	3500	5752	22794	11431	4222	6683	18236	12761	8069	10069
Cct6a	4410	9289	4059	6614	28628	12235	4376	7299	22487	14268	8777	11982
Cct6b	12	44	5	6	17	35	1	3	9	43	4	6
Cct7	4028	7085	3530	5128	20991	9841	4198	5998	16936	11644	7729	8900
Cct8	5064	9742	4405	6314	27369	13182	4958	6858	21475	14931	9952	11011
Cct8l1	25	28	34	26	27	35	35	16	24	33	79	33
Ccz1	601	1252	524	978	2739	1525	530	948	2103	1806	1028	1558
Cd101	1	17	0	0	3	16	0	3	2	23	1	2
Cd109	9	497	4	733	33	653	3	690	46	702	8	1240
Cd14	4	7	2	9	12	5	2	4	3	13	3	5
Cd151	183	726	267	760	978	969	306	797	685	1164	491	1227
Cd160	12	19	16	4	27	16	11	10	18	17	26	19
Cd163	0	1	0	0	0	0	0	0	0	1	0	0
Cd163l1	0	1	0	0	0	0	0	0	0	1	0	1
Cd164	2401	5356	1721	2899	6359	5932	1656	2864	4786	7026	3549	4617
Cd164l2	4	35	1	16	9	52	1	16	8	62	2	32
Cd177	0	2	0	0	0	3	0	0	0	2	1	0
Cd180	0	1	6	0	0	1	8	1	1	1	6	0
Cd19	0	8	0	1	1	11	0	3	1	15	0	10
Cd1d1	8	44	3	13	39	57	10	13	26	75	17	27
Cd1d2	0	4	0	1	3	6	1	1	0	2	1	2
Cd2	5	10	1	2	4	12	0	5	5	18	1	5
Cd200	6	61	5	22	15	74	3	25	10	70	7	53
Cd200r1	0	7	1	1	3	6	0	1	0	5	1	2
Cd200r2	0	1	0	0	0	4	0	1	0	1	0	1
Cd200r3	0	0	0	0	0	0	0	0	0	1	0	0
Cd200r4	0	1	0	0	0	0	0	0	0	0	0	0
Cd207	0	1	0	0	1	1	0	0	0	1	0	0
Cd209a	0	0	0	0	1	0	0	0	0	0	0	0
Cd209b	0	0	0	0	0	1	0	0	0	0	0	0
Cd209c	231	341	114	305	267	324	89	266	226	302	206	366
Cd209d	0	16	0	13	0	20	2	10	1	10	5	16
Cd209e	1	1	0	6	0	6	0	11	2	8	1	5
Cd209f	0	1	2	1	0	1	0	0	0	1	0	0
Cd209g	0	0	0	0	0	0	0	0	0	0	0	0
Cd22	8	24	8	7	35	14	10	13	15	23	15	15
Cd226	0	1	0	0	0	2	0	0	0	0	0	0
Cd244	0	1	0	1	0	0	0	0	1	0	0	0
Cd247	0	13	8	9	11	7	4	3	5	11	10	4
Cd248	1	55	0	76	10	72	1	85	4	81	5	136
Cd24a	387	1463	367	775	519	1279	305	699	445	1659	810	1300
Cd27	7	26	24	17	35	21	13	16	20	25	38	22
Cd274	6	28	15	17	40	34	11	14	22	31	34	35
Cd276	164	1686	72	770	885	1917	96	823	633	2197	166	1415
Cd28	0	20	0	8	5	18	1	4	3	25	1	4
Cd2ap	2242	3583	1707	2773	6311	4054	1679	2900	5345	4648	3659	4588
Cd2bp2	964	1767	871	1554	3597	2436	949	1796	2733	2695	2044	2820
Cd300a	118	246	175	242	312	264	129	210	305	263	290	328
Cd300c	0	0	0	0	0	0	0	0	0	1	0	0
Cd300e	6	2	0	0	3	2	5	1	4	1	2	2
Cd300lb	0	1	0	0	0	1	0	0	0	1	0	0
Cd300ld	0	3	0	1	0	7	0	0	0	5	0	0
Cd300lf	6	1	2	2	4	6	1	2	6	7	2	6
Cd300lg	5	2	0	0	1	0	3	3	4	5	3	2
Cd300lh	0	0	0	0	0	0	0	0	0	0	0	0
Cd302	24	70	11	25	71	86	21	19	56	106	30	37
Cd320	124	506	153	562	669	726	174	593	547	870	385	918
Cd33	7	3	3	7	6	7	2	5	14	3	13	3
Cd34	10	82	1	18	45	122	6	22	45	127	9	50
Cd36	0	5	1	5	4	12	0	2	0	8	0	3
Cd37	41	47	17	43	138	47	32	45	110	71	60	59
Cd38	96	181	141	156	307	180	146	160	222	221	336	194
Cd3d	0	3	0	2	0	3	0	2	0	3	1	1
Cd3e	9	23	3	5	36	30	4	8	38	47	22	10
Cd3eap	200	728	252	484	1344	1063	279	613	1055	1252	728	1042
Cd3g	0	6	0	0	0	3	0	0	0	5	0	0
Cd4	1	6	2	11	5	6	0	3	4	6	2	8
Cd40	4	15	1	20	10	23	6	27	7	34	6	62
Cd40lg	0	0	0	0	0	0	0	0	0	0	0	0
Cd44	5	129	0	13	21	109	0	14	29	123	0	20
Cd46	1	8	3	5	5	3	1	6	4	5	14	3
Cd47	29	201	26	96	70	214	40	127	71	254	79	176
Cd48	0	0	0	0	0	1	0	0	0	2	0	1
Cd5	1	2	0	2	0	1	0	0	0	1	1	4
Cd52	4	2	0	2	2	2	2	2	5	1	3	2
Cd53	0	5	0	10	1	3	0	2	1	6	0	11
Cd55	41	327	22	84	86	415	17	68	81	554	48	127
Cd55b	1	3	0	0	1	2	0	0	1	4	1	1
Cd59a	33	42	13	25	146	45	11	22	86	51	24	38
Cd59b	4	12	3	12	9	21	5	18	15	22	11	23
Cd5l	0	1	1	0	0	1	0	0	1	0	0	0
Cd6	0	5	0	0	1	4	0	0	1	8	1	0
Cd63	561	2317	307	1614	710	2617	300	1794	522	3134	664	2488
Cd68	84	74	52	47	182	86	34	46	188	79	114	66
Cd69	0	0	0	0	0	0	0	0	0	0	0	0
Cd7	0	2	0	0	3	1	0	0	2	1	0	0
Cd70	0	0	0	0	0	0	0	1	0	0	0	1
Cd72	0	4	1	3	0	2	0	1	0	1	0	3
Cd74	5	30	12	11	42	30	8	6	34	34	12	19
Cd79a	2	24	0	18	13	23	2	10	15	26	3	16
Cd79b	2	29	3	4	18	30	2	3	14	27	8	8
Cd80	8	51	5	50	42	59	3	56	22	67	16	61
Cd81	708	1585	947	1568	3106	2102	928	1571	2498	2450	2039	2167
Cd82	2	23	2	16	5	21	2	9	10	33	7	5
Cd83	0	9	0	12	2	9	0	6	2	17	1	10
Cd84	54	206	135	144	215	168	107	140	161	158	212	186
Cd86	0	2	0	0	1	4	0	1	2	4	5	1
Cd8a	6	48	7	20	11	24	7	19	5	22	28	29
Cd8b1	2	4	4	4	3	1	2	1	1	7	5	4
Cd9	1285	2457	1234	1332	4390	2470	1332	1387	3213	3184	2763	2061
Cd93	1	11	1	3	8	19	5	9	10	10	1	14
Cd96	1	3	0	1	3	9	0	1	2	9	0	2
Cd99l2	46	130	34	120	122	164	26	160	90	190	55	259
Cda	0	6	0	3	4	9	0	0	0	6	0	1
Cdadc1	237	378	255	527	664	437	239	555	423	505	494	897
Cdan1	570	778	363	1039	1050	868	422	973	936	984	832	1338
Cdc123	581	942	557	870	2824	1232	597	1026	2253	1406	1431	1682
Cdc14a	301	260	96	341	210	271	100	346	173	296	200	506
Cdc14b	868	967	718	832	2492	1119	816	852	2139	1181	1465	1352
Cdc16	1117	1054	1098	1445	4011	1395	1241	1579	2883	1579	2241	2445
Cdc20	1469	2138	1467	2687	8132	2839	1737	2897	6675	3504	3355	3734
Cdc20b	1	18	1	7	0	30	0	6	0	34	2	16
Cdc23	916	1844	890	1993	3651	2413	985	2016	2969	2862	1933	3169
Cdc25a	858	1998	662	1090	5442	2366	764	1147	4125	2862	1773	2001
Cdc25b	265	605	304	1408	611	906	346	1543	499	992	629	2202
Cdc25c	216	265	208	388	751	320	229	375	609	395	404	611
Cdc26	201	905	197	602	1457	1146	211	668	1041	1404	501	1167
Cdc27	1720	5136	1301	2544	6378	5520	1322	2542	5085	6675	2790	4089
Cdc34	814	4764	594	2490	5490	6514	721	2707	4165	7968	1335	4211
Cdc37	1336	3360	930	2068	7389	4840	1143	2292	5848	5758	2485	3924
Cdc37l1	1088	1612	1329	1493	3387	1751	1133	1503	2692	1833	2763	2338
Cdc40	421	873	445	807	1807	1019	447	892	1414	1198	913	1315
Cdc42	1730	4854	1632	2536	10633	5738	1731	2507	8210	7184	3507	4295
Cdc42bpa	1044	1755	949	1423	2525	1737	814	1384	2209	1998	1724	2185
Cdc42bpb	1539	2808	1213	3228	4230	3708	1335	3495	3572	4184	2855	4970
Cdc42bpg	580	1501	664	1701	1712	2106	615	1640	1433	2264	1438	2204
Cdc42ep1	29	160	50	92	117	187	66	100	89	220	85	166
Cdc42ep2	4	28	2	38	13	31	2	33	5	23	1	66
Cdc42ep3	39	213	120	151	303	278	119	169	215	316	292	280
Cdc42ep4	614	1937	787	2431	1583	2615	931	2739	1215	3018	1798	4383
Cdc42ep5	24	339	64	313	216	425	73	308	159	517	152	571
Cdc42se1	354	1445	431	1039	2551	1673	467	1067	1838	2171	970	1684
Cdc42se2	721	1506	578	1080	2650	1834	586	1195	2041	2195	1307	1894
Cdc45	437	704	475	732	1559	924	562	784	1192	1044	1095	1212
Cdc5l	3273	5046	3666	4914	11922	6218	4150	5428	9223	7144	8230	8682
Cdc6	592	1613	517	712	3619	1967	567	791	2649	2204	1197	1310
Cdc7	562	1035	406	986	1820	1245	475	1082	1336	1392	1041	1715
Cdc73	1521	1770	1388	1551	5525	2005	1320	1640	4390	2279	2779	2522
Cdca2	1199	3260	1526	3849	3537	4069	1562	4303	3119	4696	2963	6488
Cdca3	652	1071	656	1111	2897	1407	698	1226	2293	1627	1494	1869
Cdca4	425	1500	491	1378	2171	1812	550	1432	1740	2246	1015	2321
Cdca5	839	2403	634	1893	2382	2946	698	2158	1659	3458	1245	3261
Cdca7	1720	2055	1485	1955	7242	2738	1742	2070	5379	3121	3547	3506
Cdca7l	247	554	218	517	892	695	214	635	860	721	516	1056
Cdca8	835	1364	687	1315	3487	1694	788	1452	2622	2001	1566	2217
Cdcp1	34	301	33	139	61	286	22	124	45	301	61	178
Cdcp2	0	2	0	1	1	3	2	0	0	1	1	1
Cdh1	3261	10482	1666	5098	11294	12446	1638	4912	8193	12970	4117	6099
Cdh10	2	113	1	60	38	130	0	63	30	126	1	125
Cdh11	27	61	24	78	52	91	19	78	56	85	44	163
Cdh12	0	21	1	19	0	41	0	14	1	36	0	35
Cdh13	0	38	29	61	5	45	29	65	4	42	57	91
Cdh15	4	12	1	16	8	27	1	13	9	26	8	24
Cdh16	5	8	6	13	7	10	9	6	4	6	6	11
Cdh17	0	0	0	0	3	1	0	0	1	1	2	0
Cdh18	0	9	1	5	1	8	3	7	3	13	3	7
Cdh19	1	5	0	1	0	5	0	0	1	10	0	0
Cdh2	89	438	97	1161	412	704	88	1191	395	843	229	2203
Cdh20	0	6	0	3	3	10	0	1	3	7	4	5
Cdh22	54	3	25	16	15	4	27	21	14	7	36	39
Cdh23	11	16	25	7	28	16	13	5	21	9	39	8
Cdh24	41	176	52	148	311	237	57	184	225	271	122	273
Cdh26	0	0	0	0	1	3	0	3	0	0	0	0
Cdh3	306	1299	713	908	943	1535	786	890	685	1697	2042	1342
Cdh4	87	86	297	177	353	131	333	187	301	157	671	318
Cdh5	12	77	0	10	36	98	2	9	60	125	15	29
Cdh6	2	33	4	106	10	47	0	114	23	58	12	188
Cdh7	1	3	0	0	1	2	0	0	0	1	0	0
Cdh8	0	13	2	17	6	10	2	13	1	9	3	17
Cdh9	2	100	13	53	32	160	12	38	26	137	21	88
Cdhr1	35	209	8	10	26	307	9	14	14	349	15	16
Cdhr2	2	4	0	0	4	3	0	3	3	4	0	0
Cdhr3	0	0	0	1	2	0	0	0	0	0	1	0
Cdhr5	0	3	0	0	1	3	0	0	0	9	2	1
Cdip1	381	814	453	811	1280	870	470	843	1016	970	892	1243
Cdipt	267	634	197	372	1255	780	233	379	916	901	429	621
Cdk1	1017	2345	1152	2237	5163	2760	1284	2121	4223	3381	2370	3527
Cdk10	212	286	332	359	722	430	339	469	550	438	720	711
Cdk11b	1748	2473	1367	2331	5440	3324	1502	2689	4330	3745	3412	4278
Cdk12	2320	11086	3104	7163	8617	13499	2673	7225	8023	13971	6036	10480
Cdk13	856	3571	1197	3278	3714	4189	1126	3389	3294	4595	2435	4746
Cdk14	28	322	43	362	84	310	39	289	71	381	69	540
Cdk15	10	1	0	2	7	3	2	0	7	1	2	3
Cdk16	855	1385	817	1518	2432	1842	890	1660	2102	2146	1761	2492
Cdk17	1037	1413	955	1923	3290	1678	954	1888	2394	1732	1909	2806
Cdk18	134	357	65	151	670	472	67	139	536	517	151	253
Cdk19	389	824	424	652	721	896	378	652	597	1066	1010	1032
Cdk2	585	1392	604	1013	2406	1838	664	1158	1720	2063	1331	1737
Cdk20	100	43	43	54	122	66	55	40	102	70	76	83
Cdk2ap1	814	2642	693	1609	6060	3648	781	1737	4816	4217	1500	2944
Cdk2ap2	63	144	67	143	447	174	54	133	291	223	147	192
Cdk3-ps	4	5	10	5	12	15	4	12	13	21	5	21
Cdk4	2699	3698	2924	4207	11677	5061	3570	4847	9431	6043	6770	7563
Cdk5	90	242	110	305	390	326	168	367	301	364	352	531
Cdk5r1	19	40	21	62	85	60	21	59	72	40	55	82
Cdk5r2	14	29	8	55	82	55	14	73	42	57	28	158
Cdk5rap1	316	372	284	401	943	486	280	476	715	577	591	637
Cdk5rap2	1312	2076	1118	2196	3040	2406	1074	2306	2562	2484	2309	3369
Cdk5rap3	791	679	505	704	2287	929	719	864	1835	1150	1400	1329
Cdk6	398	953	516	2164	1614	1118	543	2256	1235	1253	1126	3140
Cdk7	974	2000	1317	2075	3567	2208	1180	2124	2642	2483	2436	3416
Cdk8	822	1540	627	1252	3483	1807	677	1255	2715	2024	1406	2029
Cdk9	623	2331	528	1763	2762	3082	583	1909	1926	3619	1249	3035
Cdkal1	358	723	378	660	1166	771	302	633	945	789	703	985
Cdkl1	2	17	0	20	7	28	2	28	4	32	2	38
Cdkl2	120	331	101	173	365	462	85	174	255	508	152	261
Cdkl3	41	90	48	38	173	101	57	42	134	118	107	60
Cdkl4	7	24	12	11	33	31	12	8	19	27	19	15
Cdkl5	63	211	94	195	206	241	57	179	191	228	138	264
Cdkn1a	81	868	82	814	724	1141	108	782	670	1452	207	1242
Cdkn1b	670	280	503	632	1210	351	559	715	998	409	1242	1021
Cdkn1c	205	332	40	117	2002	395	91	127	2519	573	175	285
Cdkn2a	6	25	4	4	19	26	1	7	12	29	8	11
Cdkn2aip	345	466	309	409	947	501	286	417	735	604	626	633
Cdkn2aipnl	324	1288	435	1017	2435	1669	449	951	1660	1917	845	1702
Cdkn2b	1	30	5	17	14	38	2	11	9	44	2	14
Cdkn2c	8	10	2	7	6	17	3	11	8	12	7	7
Cdkn2d	103	235	89	285	180	278	96	319	143	391	143	481
Cdkn3	13	59	45	74	126	66	42	86	78	72	75	114
Cdnf	14	6	3	8	20	12	9	5	15	7	17	15
Cdo1	96	90	103	375	89	124	80	385	61	123	151	581
Cdon	166	578	160	345	491	687	170	442	360	727	361	555
Cdpf1	91	53	45	58	178	64	50	74	134	80	120	99
Cdr1	0	0	0	0	0	0	0	0	0	1	0	1
Cdr2	166	849	151	655	1003	1181	123	669	829	1289	284	1078
Cdr2l	173	1180	268	1135	828	1569	259	1262	651	1718	653	1959
Cdrt4	0	0	1	2	0	2	1	4	1	4	6	5
Cdrt4os1	0	0	2	0	1	2	0	0	0	0	0	2
Cds1	184	360	201	447	212	402	159	410	165	491	343	489
Cds2	1346	2135	999	2212	2866	2615	1215	2402	2550	3152	2222	3671
Cdsn	3	11	3	1	28	11	3	6	24	13	6	6
Cdt1	2310	1379	1419	1445	6623	1984	1806	1611	5389	2289	3566	2605
Cdv3	4123	13554	2984	7717	20703	16214	3104	7944	15688	18305	5890	12695
Cdx1	52	28	23	25	181	19	69	35	139	20	80	45
Cdx2	6	44	1	8	25	35	2	7	42	20	3	10
Cdx4	6	35	0	2	7	27	4	3	11	40	4	5
Cdyl	354	1241	591	1190	1960	1541	542	1308	1550	1534	1278	2097
Cdyl2	1308	812	1046	475	2191	901	1058	536	2090	921	1993	758
Ceacam1	210	170	192	294	779	198	242	335	614	226	401	598
Ceacam10	1	8	0	3	3	4	1	1	3	6	1	3
Ceacam11	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam12	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam13	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam14	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam15	0	0	0	0	0	1	0	0	0	0	0	0
Ceacam16	1	3	6	6	14	2	3	0	7	6	4	2
Ceacam18	0	3	3	1	7	3	2	2	6	4	4	3
Ceacam19	1	3	3	5	6	4	1	3	3	9	6	7
Ceacam2	1	55	21	54	20	39	31	47	19	50	59	95
Ceacam20	105	79	53	28	240	136	25	23	194	149	65	52
Ceacam3	0	1	0	0	0	0	0	0	0	0	0	0
Ceacam5	0	1	0	0	0	0	0	0	0	0	0	0
Ceacam9	0	1	0	1	3	3	0	1	0	2	0	0
Ceacam-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Cebpa	4	74	6	33	22	80	12	46	17	77	11	61
Cebpb	47	146	24	108	174	182	36	123	228	204	43	200
Cebpd	19	108	13	84	73	140	9	93	56	210	19	141
Cebpe	0	7	1	1	1	10	0	2	4	10	1	8
Cebpg	418	719	409	1107	1207	726	363	1087	1126	811	785	1721
Cebpz	1475	2241	1411	2425	7322	2813	1481	2589	5257	3189	3584	4019
Cebpzos	53	170	59	119	254	211	70	107	177	231	134	209
Cecr2	3710	5046	3238	6525	7612	6223	3122	6630	6613	6597	6691	10762
Cecr5	280	247	237	393	842	320	244	424	652	372	578	562
Cecr6	4	2	0	18	10	9	1	11	11	4	5	27
Cel	1	3	1	0	0	1	0	1	1	2	0	0
Cela1	0	12	1	3	19	3	1	5	11	13	3	3
Cela2a	0	0	0	0	0	5	0	0	2	3	0	1
Cela3a	0	0	0	1	0	0	0	0	1	0	0	0
Cela3b	0	0	0	0	0	0	0	0	0	0	0	0
Celf1	3638	6703	3359	5428	14242	8413	3288	5458	12047	9788	7295	8914
Celf2	44	390	41	296	73	423	34	290	63	525	83	470
Celf3	16	44	25	17	47	35	22	18	39	50	40	36
Celf4	81	437	116	508	624	575	123	517	391	715	326	1170
Celf5	174	150	270	389	663	200	292	357	564	193	549	511
Celf6	4	6	1	3	10	6	1	7	12	13	4	8
Celrr	0	2	2	4	1	0	1	0	0	1	1	0
Celsr1	413	250	434	520	816	304	463	485	775	295	959	653
Celsr2	199	949	191	2326	431	1283	208	2381	484	1328	574	3684
Celsr3	426	542	362	985	1087	716	482	1104	751	785	941	1552
Cemip	66	48	132	17	120	46	80	21	119	55	193	24
Cend1	11	24	23	124	73	63	22	133	63	63	46	228
Cenpa	872	1363	673	1839	2918	1645	785	1853	2291	1993	1617	2793
Cenpb	534	660	704	1312	2057	977	1017	1551	1692	1127	1753	2487
Cenpc1	581	1132	762	1453	2339	1281	668	1478	1768	1563	1548	2357
Cenpe	3508	5634	2883	9854	6609	6271	2837	10049	6151	7490	5616	14587
Cenpf	7736	8113	9147	12772	20403	9569	8267	13674	17163	10588	18583	18680
Cenph	282	574	357	508	1491	685	379	494	1101	880	907	914
Cenpi	427	655	387	656	1391	788	320	653	1088	899	772	1066
Cenpj	283	721	229	580	1013	844	227	574	670	936	415	968
Cenpk	157	272	140	276	645	389	142	233	453	428	273	402
Cenpl	250	517	249	493	771	507	239	509	664	650	442	740
Cenpm	149	267	113	236	865	362	150	305	675	442	367	481
Cenpn	574	577	468	480	1896	633	457	450	1359	755	964	761
Cenpo	152	345	191	264	705	400	166	312	472	415	411	442
Cenpp	193	241	213	255	768	289	182	237	583	326	497	401
Cenpq	233	270	215	264	821	281	207	259	616	367	524	463
Cenpt	685	693	694	822	2054	953	751	980	1667	1250	1659	1398
Cenpu	217	240	215	244	792	322	233	257	482	357	448	445
Cenpv	180	361	209	590	1034	537	284	716	819	543	543	1077
Cenpw	71	401	100	351	387	452	91	373	283	572	198	554
Cep104	250	706	234	771	1048	874	250	820	797	1045	512	1216
Cep112	32	200	111	170	49	157	99	172	51	152	187	269
Cep120	1082	1574	690	1443	2321	2000	694	1506	2093	2229	1421	2231
Cep126	216	434	204	666	495	457	178	648	334	545	433	1004
Cep128	350	618	344	681	639	721	340	717	540	697	727	1023
Cep131	272	454	324	975	693	739	455	1293	594	739	963	2032
Cep135	573	790	460	815	1442	814	438	817	1137	934	854	1194
Cep152	459	838	473	840	1342	913	461	815	1227	976	1059	1255
Cep162	548	643	327	576	847	640	335	580	747	736	723	911
Cep164	504	1213	452	1079	1818	1611	501	1250	1484	1803	1115	1929
Cep170	685	1442	920	1484	2338	1615	796	1605	2122	1857	1800	2379
Cep170b	461	2413	892	2446	1458	2668	948	2568	1004	2946	1729	3374
Cep19	114	387	85	227	550	468	121	235	320	532	171	388
Cep192	3337	3900	2766	4597	8726	4594	2587	4724	7122	5277	5463	6836
Cep250	1340	1998	1316	2227	3255	2599	1479	2567	2801	2871	3263	3777
Cep290	484	1253	377	1076	1801	1648	402	1181	1243	1731	922	2079
Cep295	1649	2867	1677	2586	4208	3148	1460	2547	3723	3188	3278	4026
Cep350	1753	1899	1606	2526	2454	2028	1428	2672	2270	2177	3249	3817
Cep41	98	116	87	65	341	173	123	92	226	216	278	155
Cep44	622	336	490	511	1242	337	542	572	938	439	1108	913
Cep55	568	1143	914	1028	2512	1232	890	972	1938	1518	2077	1659
Cep57	1156	1218	928	1392	3259	1635	912	1407	2513	1974	2181	2290
Cep57l1	289	398	243	325	812	532	303	422	628	656	630	635
Cep63	264	423	171	316	772	522	189	358	653	598	392	465
Cep68	392	1454	788	1831	2461	1835	827	2039	1823	1891	1573	3181
Cep70	243	451	218	401	611	496	239	385	467	584	517	625
Cep72	244	350	242	369	497	389	227	366	394	434	546	579
Cep76	353	784	271	474	1849	1007	200	551	1448	1056	471	818
Cep78	388	876	313	917	1549	1037	384	1016	1210	1290	778	1540
Cep83	507	1339	462	1239	1861	1586	433	1247	1435	1724	1021	1889
Cep83os	24	11	19	11	22	11	11	16	15	12	21	27
Cep85	1001	1407	729	1374	2321	1791	766	1461	2036	2102	1768	2120
Cep85l	49	196	49	183	64	192	50	182	56	220	96	299
Cep89	406	546	494	1073	1349	751	540	1249	1051	801	1017	1612
Cep95	218	371	319	245	820	362	321	257	662	451	682	437
Cep97	408	542	497	777	924	690	505	924	764	797	1000	1458
Cept1	275	642	264	1308	704	670	279	1254	550	751	547	1990
Cer1	1	2	2	1	3	1	0	2	1	2	0	0
Cercam	50	324	54	419	218	424	61	420	142	491	119	641
Cerk	279	118	31	141	138	152	39	139	97	143	47	239
Cerkl	6	14	1	8	8	25	2	6	4	24	2	28
Cers1	0	0	0	0	0	0	0	0	0	0	0	0
Cers2	461	1368	451	1764	1372	1835	482	1837	955	1946	1018	2826
Cers3	2	16	3	1	8	8	0	6	5	10	9	2
Cers4	187	129	203	179	839	171	218	197	529	167	487	316
Cers5	468	926	398	819	1353	1191	390	934	1000	1355	828	1383
Cers6	625	914	521	824	965	987	458	850	906	1059	1029	1282
Ces1a	0	2	0	0	0	2	0	1	0	1	0	0
Ces1b	0	2	0	0	0	1	0	0	0	1	0	0
Ces1c	0	11	0	1	0	9	0	0	1	4	0	0
Ces1d	0	0	0	0	0	0	0	0	0	0	0	0
Ces1e	0	0	0	0	0	0	0	0	0	0	0	0
Ces1f	0	0	0	0	0	0	0	0	0	0	0	0
Ces1g	0	0	0	1	0	1	0	0	0	0	0	0
Ces2a	0	1	0	0	0	0	0	0	0	0	0	1
Ces2b	0	2	0	0	0	1	0	0	0	1	0	0
Ces2c	0	0	0	0	0	0	0	0	0	0	0	0
Ces2d-ps	0	0	0	0	0	0	0	0	0	0	0	0
Ces2e	1	0	0	1	0	1	0	1	1	1	1	2
Ces2f	1	0	0	0	2	1	1	0	0	0	0	0
Ces2g	0	4	0	1	0	5	0	0	1	3	0	0
Ces2h	0	0	0	0	0	0	0	0	0	0	0	0
Ces3a	0	0	0	0	0	0	0	0	0	0	0	0
Ces3b	0	0	0	0	0	0	0	0	0	0	0	0
Ces4a	0	3	0	1	2	2	0	0	4	3	0	1
Ces5a	0	6	0	4	0	1	0	7	1	3	2	5
Cetn1	0	1	0	0	0	0	0	0	0	0	0	0
Cetn2	118	380	121	317	901	526	118	340	599	581	251	515
Cetn3	476	846	317	479	2552	1078	308	544	2088	1269	762	992
Cetn4	5	15	5	1	15	16	2	5	6	23	8	7
Cfap126	16	9	9	2	42	19	10	5	28	13	17	5
Cfap20	570	556	424	561	1832	799	503	595	1258	957	1040	968
Cfap221	1	2	4	1	3	3	1	1	1	0	2	3
Cfap36	217	458	230	369	1034	574	252	427	766	692	545	697
Cfap43	37	81	22	31	211	76	20	20	123	76	46	27
Cfap44	3	7	11	4	8	9	6	6	8	13	18	10
Cfap45	21	26	23	42	64	25	17	65	56	26	34	117
Cfap46	5	12	6	26	17	21	11	19	9	10	10	44
Cfap52	9	21	1	5	41	19	2	3	14	32	4	9
Cfap53	4	12	3	10	6	10	3	9	4	8	11	8
Cfap57	0	6	0	9	6	6	0	6	8	8	6	6
Cfap58	0	2	0	0	2	0	0	0	0	1	0	0
Cfap61	1	2	1	0	7	6	7	0	4	9	6	4
Cfap69	18	45	25	48	71	38	25	44	52	52	48	73
Cfap70	4	9	8	3	26	8	10	5	16	8	18	9
Cfap74	197	338	203	357	436	344	148	331	351	319	396	463
Cfap97	416	635	351	575	1027	825	398	606	754	899	833	950
Cfb	60	79	39	29	160	90	40	37	130	75	75	47
Cfc1	1	46	1	12	1	44	2	22	1	77	0	25
Cfd	0	1	0	0	8	5	0	0	10	6	0	1
Cfdp1	1408	2324	1262	1412	7755	3020	1371	1524	6056	3468	3208	2700
