"seqnames" "start" "end" "RIP4" "RIP5" "RIP6" "RIP1" "RIP2" "RIP3" "GeneID"
"34" "chr1" 10066358 10066758 279 275 367 368 415 332 "Cspp1"
"35" "chr1" 10092098 10092498 28 30 27 56 48 53 "Cspp1"
"36" "chr1" 10342577 10342977 0 5 2 5 0 7 "Cpa6"
"37" "chr1" 10360227 10360857 12 24 28 25 25 6 "Cpa6"
"38" "chr1" 10426797 10427197 699 701 977 1226 552 757 "Cpa6"
"39" "chr1" 10534030 10534430 4 3 9 11 6 17 "Cpa6"
"40" "chr1" 10791255 10791655 66 66 106 108 36 75 "Mir467e"
"41" "chr1" 11039679 11040559 256 257 377 351 329 418 "Prex2"
"42" "chr1" 11041013 11041639 84 140 145 191 200 173 "Prex2"
"43" "chr1" 11042123 11042523 90 115 116 130 111 136 "Prex2"
"44" "chr1" 11042617 11043017 21 19 16 23 63 23 "Prex2"
"45" "chr1" 11048452 11049372 69 116 102 112 108 107 "Prex2"
"46" "chr1" 11049393 11050148 35 44 68 97 48 65 "Prex2"
"47" "chr1" 11050196 11050596 8 10 18 11 2 17 "Prex2"
"48" "chr1" 11050651 11051274 36 47 52 59 54 73 "Prex2"
"49" "chr1" 11052751 11053521 88 127 117 262 241 240 "Prex2"
"50" "chr1" 11062701 11063101 21 41 50 54 34 60 "Prex2"
"51" "chr1" 11063156 11063740 17 29 55 45 31 59 "Prex2"
"52" "chr1" 11235424 11235824 63 53 61 91 50 75 "Prex2"
"53" "chr1" 11236623 11237616 121 135 215 259 131 236 "Prex2"
"54" "chr1" 11237721 11238121 43 37 62 73 59 55 "Prex2"
"55" "chr1" 11239928 11240328 24 19 37 30 14 50 "Prex2"
"56" "chr1" 11240625 11241025 18 32 19 31 31 18 "Prex2"
"57" "chr1" 11295633 11296033 10 14 27 25 33 52 "Prex2"
"58" "chr1" 11299481 11299881 130 118 177 205 162 69 "Prex2"
"59" "chr1" 11429928 11430328 74 120 141 83 81 66 "A830018L16Rik"
"60" "chr1" 11441010 11441410 30 26 59 26 12 32 "A830018L16Rik"
"61" "chr1" 11468265 11469024 72 52 88 51 70 72 "A830018L16Rik"
"62" "chr1" 11783483 11783883 0 1 11 3 0 2 "A830018L16Rik"
"63" "chr1" 11856083 11856668 43 37 37 41 51 27 "A830018L16Rik"
"64" "chr1" 12667837 12668237 62992 61862 75034 61795 63661 50236 "Gm17644"
"65" "chr1" 12668277 12668677 2292 2087 2655 2785 4118 2519 "Gm17644"
"66" "chr1" 12828972 12829372 7 6 8 38 16 22 "Sulf1"
"67" "chr1" 12858989 12859699 1928 2005 2049 3275 4334 3158 "Sulf1"
"68" "chr1" 12871664 12872064 45 51 49 97 165 105 "Slco5a1"
"69" "chr1" 12989633 12990303 59 47 49 144 234 147 "Slco5a1"
"70" "chr1" 13126040 13126440 31 23 42 24 28 23 "Prdm14"
"71" "chr1" 13166908 13167308 61 54 77 50 32 33 "Ncoa2"
"72" "chr1" 13174066 13174466 2072 1929 2234 2325 2150 1434 "Ncoa2"
"73" "chr1" 13174837 13175237 151 143 133 120 132 111 "Ncoa2"
"74" "chr1" 14170275 14170675 45 36 39 72 52 40 "Eya1"
"75" "chr1" 14753944 14754344 158 127 164 189 125 81 "Msc"
"76" "chr1" 14755441 14755841 32 34 24 29 21 5 "Msc"
"77" "chr1" 15840943 15841343 101 114 166 161 198 132 "Terf1"
"78" "chr1" 15860543 15860943 116 129 170 90 57 79 "Sbspon"
"79" "chr1" 15868139 15868539 31 26 61 18 4 21 "Sbspon"
"80" "chr1" 16082310 16082710 798 1016 1172 2701 4273 1963 "4930444P10Rik"
"81" "chr1" 16105762 16106162 143 159 166 206 383 220 "Rdh10"
"82" "chr1" 16339124 16339524 6 16 8 3 2 2 "Stau2"
"83" "chr1" 16422768 16423168 27 21 27 12 39 15 "Stau2"
"84" "chr1" 16424462 16425127 32 53 53 31 23 52 "Stau2"
"85" "chr1" 16425454 16426177 30 43 42 43 41 41 "Stau2"
"86" "chr1" 16426560 16426960 41 63 91 51 31 63 "Stau2"
"87" "chr1" 16454343 16454743 2 0 4 6 0 8 "Stau2"
"88" "chr1" 16996852 16997252 35 32 46 35 35 20 "Jph1"
"89" "chr1" 17003831 17004231 36 17 40 31 26 24 "Jph1"
"90" "chr1" 17004341 17004741 16 30 28 24 25 14 "Jph1"
"91" "chr1" 17015958 17016358 10 6 3 6 10 4 "Jph1"
"92" "chr1" 17045132 17045532 25 21 28 43 26 40 "Jph1"
"93" "chr1" 17045977 17046377 34 45 46 53 32 76 "Jph1"
"94" "chr1" 17046445 17046845 41 67 85 68 28 53 "Jph1"
"95" "chr1" 17046852 17047252 23 32 19 40 25 23 "Jph1"
"96" "chr1" 17091260 17091660 313 411 378 436 318 287 "Jph1"
"97" "chr1" 17611932 17612332 4 6 8 4 11 4 "Pi15"
"98" "chr1" 17629461 17629861 45 71 84 56 121 92 "Pi15"
"99" "chr1" 17684753 17685153 1 0 2 3 0 10 "Gm16070"
"100" "chr1" 17712361 17712761 4860 5362 6412 8192 11606 4546 "Gm16070"
"101" "chr1" 20058053 20058453 27 38 42 11 20 10 "Pkhd1"
"102" "chr1" 20088541 20089590 44 40 68 27 10 20 "Pkhd1"
"103" "chr1" 20090042 20090442 13 15 8 2 3 12 "Pkhd1"
"104" "chr1" 20099398 20099798 10 20 34 13 6 6 "Pkhd1"
"105" "chr1" 20100720 20101356 68 49 98 26 10 23 "Pkhd1"
"106" "chr1" 20101447 20101847 8 11 14 5 1 4 "Pkhd1"
"107" "chr1" 20117034 20117434 58 43 72 17 19 12 "Pkhd1"
"108" "chr1" 20191495 20191895 24 25 11 9 9 11 "Pkhd1"
"109" "chr1" 20200557 20201319 65 71 110 21 30 33 "Pkhd1"
"110" "chr1" 20232149 20232857 110 114 118 56 38 62 "Pkhd1"
"111" "chr1" 20233452 20234039 46 45 88 25 14 15 "Pkhd1"
"112" "chr1" 20253965 20254365 48 40 54 18 26 24 "Pkhd1"
"113" "chr1" 20255203 20255603 35 31 67 12 15 29 "Pkhd1"
"114" "chr1" 20319692 20320645 103 124 148 185 71 98 "Pkhd1"
"115" "chr1" 20389642 20390042 83 85 117 72 45 44 "4930486I03Rik"
"116" "chr1" 20389642 20390042 83 85 117 72 45 44 "Pkhd1"
"117" "chr1" 20424280 20424680 12 8 12 12 9 4 "Pkhd1"
"118" "chr1" 20426083 20426483 22 26 30 37 18 24 "Pkhd1"
"119" "chr1" 20426683 20427083 11 10 15 19 6 5 "Pkhd1"
"120" "chr1" 20432508 20432908 15 27 42 12 21 5 "Pkhd1"
"121" "chr1" 20433294 20433694 5 5 6 8 7 7 "Pkhd1"
"122" "chr1" 20486384 20487702 189 142 268 245 184 138 "Pkhd1"
"123" "chr1" 20574480 20575194 20 18 16 27 15 24 "Pkhd1"
"124" "chr1" 20935605 20936005 247 274 443 215 303 212 "Paqr8"
"125" "chr1" 20936360 20936992 89 94 114 66 89 55 "Paqr8"
"126" "chr1" 20937607 20938007 39 54 84 63 81 32 "Paqr8"
"127" "chr1" 20938075 20938475 22 27 41 18 28 40 "Paqr8"
"128" "chr1" 21401908 21402308 3 12 6 15 25 45 "Kcnq5"
"129" "chr1" 21586109 21586509 6 7 13 13 21 10 "Kcnq5"
"130" "chr1" 21878043 21878443 8 3 7 25 13 23 "Kcnq5"
"131" "chr1" 21878768 21879168 1 2 1 16 28 27 "Kcnq5"
"132" "chr1" 23369482 23369882 325 323 382 590 475 293 "Ogfrl1"
"133" "chr1" 24028359 24028759 513 558 663 380 329 360 "Fam135a"
"134" "chr1" 24028797 24029197 406 517 503 397 467 356 "Fam135a"
"135" "chr1" 24029511 24029911 122 134 197 143 210 126 "Fam135a"
"136" "chr1" 24721447 24722217 8 9 8 2 18 4 "Lmbrd1"
"137" "chr1" 24722842 24723428 22 22 32 14 11 10 "Lmbrd1"
"138" "chr1" 24727346 24727746 6 13 17 10 12 12 "Lmbrd1"
"139" "chr1" 24763388 24763788 36 62 89 20 46 14 "Lmbrd1"
"140" "chr1" 25093875 25094275 15 13 23 33 45 32 "Gm20172"
"141" "chr1" 25122187 25122587 9 7 11 9 15 6 "Gm20172"
"142" "chr1" 25139176 25139576 4 7 3 11 20 8 "Gm20172"
"143" "chr1" 25329629 25330219 32 28 40 48 14 31 "Adgrb3"
"144" "chr1" 25404077 25404628 50 36 51 48 26 33 "Adgrb3"
"145" "chr1" 25808606 25809006 3 13 3 29 57 8 "Adgrb3"
"146" "chr1" 30803779 30804179 8765 8815 11232 20966 13175 9717 "Phf3"
"147" "chr1" 30804326 30804726 441 447 550 678 367 491 "Phf3"
"148" "chr1" 30804947 30805347 5109 5661 6836 10580 5910 5697 "Phf3"
"149" "chr1" 30805536 30806011 737 872 1043 1473 1472 925 "Phf3"
"150" "chr1" 30821116 30821516 404 422 527 729 475 554 "Phf3"
"151" "chr1" 30824226 30824626 407 431 465 784 557 390 "Phf3"
"152" "chr1" 30829513 30830605 2862 2908 3160 4187 3895 3065 "Phf3"
"153" "chr1" 30830811 30831211 1995 2039 2476 3515 4015 2115 "Phf3"
"154" "chr1" 31169918 31170318 2 2 4 3 6 12 "4931428L18Rik"
"155" "chr1" 32378404 32378804 220 271 482 452 426 262 "Khdrbs2"
"156" "chr1" 33623681 33624081 194 302 306 259 311 268 "Prim2"
"157" "chr1" 33739509 33739909 134 123 151 508 461 224 "Rab23"
"158" "chr1" 33776373 33776977 1260 1260 1304 1986 1680 1164 "Zfp451"
"159" "chr1" 33777081 33777481 337 353 385 540 598 322 "Zfp451"
"160" "chr1" 33801334 33801734 97 74 116 117 141 100 "Zfp451"
"161" "chr1" 33802195 33802595 1408 1545 1642 1907 2397 1751 "Zfp451"
"162" "chr1" 33802611 33803270 275 221 247 239 293 261 "Zfp451"
"163" "chr1" 33835717 33836117 39 47 51 81 44 47 "Gm15455"
"164" "chr1" 33838381 33838781 41 40 43 63 102 62 "Gm15455"
"165" "chr1" 34121849 34122249 23 38 45 60 89 87 "Dst"
"166" "chr1" 34177791 34178191 533 561 605 1092 1490 903 "Dst"
"167" "chr1" 34178269 34178875 959 1058 1152 1739 2484 1771 "Dst"
"168" "chr1" 34179086 34179486 494 600 607 840 1003 959 "Dst"
"169" "chr1" 34179759 34180547 828 743 857 1176 1597 1046 "Dst"
"170" "chr1" 34180945 34181727 249 247 243 544 700 549 "Dst"
"171" "chr1" 34187930 34188330 247 259 297 247 390 315 "Dst"
"172" "chr1" 34188732 34189132 1943 2101 2489 1841 2276 2016 "Dst"
"173" "chr1" 34189344 34189744 638 748 902 633 1044 683 "Dst"
"174" "chr1" 34189804 34190204 663 811 955 636 879 695 "Dst"
"175" "chr1" 34190370 34191187 2077 2345 3128 2138 3307 2272 "Dst"
"176" "chr1" 34191640 34192136 7652 8805 10880 8407 9108 8426 "Dst"
"177" "chr1" 34192329 34193264 1797 1898 2212 1745 2475 2286 "Dst"
"178" "chr1" 34199182 34199582 606 611 804 800 1087 718 "Dst"
"179" "chr1" 34201058 34201458 1124 1572 1872 1301 1820 1118 "Dst"
"180" "chr1" 34225656 34226056 1078 1200 1357 670 824 802 "Dst"
"181" "chr1" 34227801 34228201 5681 6197 7637 5638 6114 5059 "Dst"
"182" "chr1" 34228432 34228832 1332 1466 1728 1452 2002 1561 "Dst"
"183" "chr1" 34228875 34229275 1181 1139 1411 976 1376 1034 "Dst"
"184" "chr1" 34237671 34238071 279 297 410 280 566 420 "Dst"
"185" "chr1" 34307309 34307709 716 695 909 605 769 718 "Dst"
"186" "chr1" 34803051 34803451 24 13 17 23 38 16 "Arhgef4"
"187" "chr1" 34859218 34859618 8 1 20 7 3 5 "Plekhb2"
"188" "chr1" 36103962 36104362 3589 3417 4005 4805 6504 3653 "Hs6st1"
"189" "chr1" 36104614 36105014 402 290 351 259 279 313 "Hs6st1"
"190" "chr1" 36106029 36106429 681 584 819 1195 821 752 "Hs6st1"
"191" "chr1" 36143857 36144257 1678 1689 1870 1862 2886 1985 "Mir6897"
"192" "chr1" 36143857 36144257 1678 1689 1870 1862 2886 1985 "Uggt1"
"193" "chr1" 36177658 36178058 48 58 101 42 85 107 "Uggt1"
"194" "chr1" 36319080 36319480 34 25 19 53 44 38 "Arid5a"
"195" "chr1" 36320317 36320717 23 33 20 29 39 11 "Arid5a"
"196" "chr1" 36335764 36336164 2136 2323 2737 3103 3387 2137 "Mir6898"
"197" "chr1" 36423824 36424224 128 112 163 95 88 101 "Lman2l"
"198" "chr1" 36426085 36426485 63 50 75 49 47 66 "Lman2l"
"199" "chr1" 36472122 36472522 29 29 50 66 122 51 "Cnnm4"
"200" "chr1" 36472644 36473044 106 125 174 202 304 286 "Cnnm4"
"201" "chr1" 36497817 36498217 5 2 14 7 11 29 "Cnnm4"
"202" "chr1" 36511909 36512309 142 205 199 190 337 130 "Cnnm3"
"203" "chr1" 36512777 36513177 974 1023 1173 844 1499 815 "Cnnm3"
"204" "chr1" 36518772 36519172 368 415 581 283 426 382 "Cnnm3"
"205" "chr1" 36526671 36527071 52 77 56 87 92 72 "Cnnm3"
"206" "chr1" 36549136 36550177 273 297 357 517 1101 685 "Sema4c"
"207" "chr1" 36590435 36591000 198 280 350 83 151 80 "Fam178b"
"208" "chr1" 36675706 36676332 103 116 139 69 95 73 "Fam178b"
"209" "chr1" 36780151 36780551 6 10 18 42 25 27 "Zap70"
"210" "chr1" 36792251 36792651 3705 4885 5573 2079 1785 2431 "Tmem131"
"211" "chr1" 36807831 36808453 2625 2217 3281 1488 1599 2090 "Tmem131"
"212" "chr1" 36866723 36867123 357 566 685 499 208 525 "Tmem131"
"213" "chr1" 36867315 36867715 157 225 291 185 119 151 "Tmem131"
"214" "chr1" 37261347 37261747 305 331 432 1751 1900 803 "Cnga3"
"215" "chr1" 37420175 37420575 84 78 75 309 301 169 "Coa5"
"216" "chr1" 37487386 37487786 98 117 154 90 134 146 "4930594C11Rik"
"217" "chr1" 37487386 37487786 98 117 154 90 134 146 "Mgat4a"
"218" "chr1" 37487870 37488556 101 154 166 178 236 171 "4930594C11Rik"
"219" "chr1" 37487870 37488556 101 154 166 178 236 171 "Mgat4a"
"220" "chr1" 37624970 37625370 5 5 6 13 2 4 "2010300C02Rik"
"221" "chr1" 37787558 37787958 12 3 22 5 21 6 "Tsga10"
"222" "chr1" 37875485 37876045 93 92 111 221 187 108 "Lipt1"
"223" "chr1" 37878910 37879310 38 48 57 158 111 96 "Mitd1"
"224" "chr1" 37986648 37987048 43 47 51 65 79 45 "Txndc9"
"225" "chr1" 38017640 38018270 314 346 416 831 486 271 "Eif5b"
"226" "chr1" 38018865 38019689 6030 6243 7119 13198 9111 6581 "Eif5b"
"227" "chr1" 38021412 38021812 1261 1366 1589 3657 2191 1305 "Eif5b"
"228" "chr1" 38021973 38022373 496 420 559 1590 953 516 "Eif5b"
"229" "chr1" 38032086 38032486 259 306 347 1023 481 321 "Eif5b"
"230" "chr1" 38032888 38033288 314 304 272 690 407 357 "Eif5b"
"231" "chr1" 38033831 38034231 184 194 237 475 308 219 "Eif5b"
"232" "chr1" 38035830 38036382 816 741 1019 2443 1868 911 "Eif5b"
"233" "chr1" 38060918 38061576 160 175 262 406 305 438 "Rev1"
"234" "chr1" 38061843 38062631 368 410 507 679 742 1047 "Rev1"
"235" "chr1" 38085459 38085859 302 379 359 614 492 488 "Rev1"
"236" "chr1" 38088257 38088657 2210 2600 2701 5095 6828 3759 "Rev1"
"237" "chr1" 38091903 38092303 108 105 127 174 116 99 "Rev1"
"238" "chr1" 38094760 38095160 1 2 1 0 2 8 "Rev1"
"239" "chr1" 38207839 38208239 2 9 4 20 9 3 "Aff3"
"240" "chr1" 38209450 38210126 63 58 61 112 95 76 "Aff3"
"241" "chr1" 38797360 38797760 29 26 33 78 19 14 "Lonrf2"
"242" "chr1" 38863830 38864230 64 59 62 70 60 52 "Chst10"
"243" "chr1" 38864327 38864888 142 136 170 110 153 110 "Chst10"
"244" "chr1" 38865154 38866112 396 342 485 328 442 276 "Chst10"
"245" "chr1" 39372277 39372677 157 157 201 250 235 165 "Tbc1d8"
"246" "chr1" 39618395 39618795 22 26 25 13 19 8 "Creg2"
"247" "chr1" 39966548 39966948 4 3 5 4 13 7 "Map4k4"
"248" "chr1" 39967277 39967677 16 10 19 13 10 17 "Map4k4"
"249" "chr1" 39996848 39997248 516 379 536 1893 1196 923 "Map4k4"
"250" "chr1" 40365026 40365426 29 14 20 3 2 7 "Il1rl2"
"251" "chr1" 40772222 40772622 20 15 25 33 57 25 "Mfsd9"
"252" "chr1" 40773603 40774003 22 21 36 32 39 54 "Mfsd9"
"253" "chr1" 40774092 40774492 19 13 16 11 35 27 "Mfsd9"
"254" "chr1" 43049297 43049697 37 27 25 48 49 24 "Tgfbrap1"
"255" "chr1" 43075177 43075577 81 98 112 128 138 74 "Tgfbrap1"
"256" "chr1" 43075628 43076028 43 56 59 77 103 43 "Tgfbrap1"
"257" "chr1" 43554052 43554452 135 152 158 256 346 158 "Nck2"
"258" "chr1" 44124463 44124863 5 6 6 9 20 2 "Bivm"
"259" "chr1" 44142767 44143455 116 102 146 292 143 107 "Bivm"
"260" "chr1" 44166938 44167338 371 398 462 902 1195 555 "Ercc5"
"261" "chr1" 44180420 44181200 563 575 639 1352 1314 769 "Ercc5"
"262" "chr1" 44560598 44560998 33 40 39 30 58 33 "Gulp1"
"263" "chr1" 44579923 44580323 2 11 17 28 18 29 "Gulp1"
"264" "chr1" 44608909 44609309 12 9 14 14 23 12 "Gulp1"
"265" "chr1" 44642218 44642618 43 69 67 63 57 34 "Gulp1"
"266" "chr1" 44642919 44643319 29 17 27 22 29 19 "Gulp1"
"267" "chr1" 44644130 44644530 39 30 21 38 46 31 "Gulp1"
"268" "chr1" 46193760 46194160 211 250 338 329 141 242 "Dnah7b"
"269" "chr1" 46316002 46316626 4 7 18 12 12 17 "Dnah7b"
"270" "chr1" 46349644 46351077 103 91 153 202 201 180 "Dnah7b"
"271" "chr1" 46832503 46832903 144 164 227 195 240 292 "Slc39a10"
"272" "chr1" 46835050 46836074 3283 3510 4434 4301 5020 5904 "Slc39a10"
"273" "chr1" 51256153 51256989 14 9 12 15 1 6 "9330175M20Rik"
"274" "chr1" 52107088 52107488 36 36 44 33 30 11 "Stat4"
"275" "chr1" 52159355 52159755 98 97 98 161 131 84 "Stat1"
"276" "chr1" 52187566 52187966 244 255 278 287 352 198 "Gls"
"277" "chr1" 52458572 52459321 424 469 424 455 295 288 "Nab1"
"278" "chr1" 52489906 52490306 308 265 308 433 374 286 "Nab1"
"279" "chr1" 52637799 52638199 42 54 42 79 44 48 "Tmem194b"
"280" "chr1" 52649852 52650252 253 253 345 181 192 133 "Tmem194b"
"281" "chr1" 52697080 52697639 10 3 2 1 1 3 "Mfsd6"
"282" "chr1" 52789633 52790033 29 30 43 54 32 33 "Inpp1"
"283" "chr1" 52893799 52894593 39 55 66 98 69 64 "Hibch"
"284" "chr1" 52897304 52897704 27 43 45 73 57 37 "Hibch"
"285" "chr1" 52912692 52913092 66 60 116 76 33 58 "Hibch"
"286" "chr1" 52925299 52925699 1940 1776 2117 1897 1537 1211 "1700019D03Rik"
"287" "chr1" 52939332 52939732 3 5 5 13 6 4 "1700019D03Rik"
"288" "chr1" 53196737 53197325 231 185 256 402 328 261 "Pms1"
"289" "chr1" 53206807 53207207 118 97 142 229 147 109 "Pms1"
"290" "chr1" 53262689 53263089 90 98 118 131 162 144 "Pms1"
"291" "chr1" 53276056 53276456 2 7 3 1 0 2 "Pms1"
"292" "chr1" 53319878 53320278 78 88 129 168 115 88 "Osgepl1"
"293" "chr1" 53346556 53346956 20 31 24 69 66 32 "Asnsd1"
"294" "chr1" 53346957 53347357 716 673 769 2009 1964 745 "Asnsd1"
"295" "chr1" 53515929 53516329 22 30 42 6 0 17 "Dnah7a"
"296" "chr1" 53516486 53517137 20 16 33 6 3 3 "Dnah7a"
"297" "chr1" 53553531 53553931 17 26 14 7 7 11 "Dnah7a"
"298" "chr1" 53554733 53555133 9 34 35 8 1 8 "Dnah7a"
"299" "chr1" 53675784 53676184 13 13 5 2 12 11 "Dnah7a"
"300" "chr1" 53676354 53676754 9 7 10 5 0 7 "Dnah7a"
"301" "chr1" 53695074 53695474 17 23 37 27 4 17 "Dnah7a"
"302" "chr1" 53812773 53813173 30 31 29 96 120 122 "Hecw2"
"303" "chr1" 53925621 53926021 38 21 16 20 29 9 "Hecw2"
"304" "chr1" 53926062 53926462 35 23 21 36 19 17 "Hecw2"
"305" "chr1" 54293164 54293770 5 7 13 2 3 8 "Ccdc150"
"306" "chr1" 54293993 54294393 6 6 13 8 1 4 "Ccdc150"
"307" "chr1" 54345432 54345832 12 4 1 6 21 4 "Ccdc150"
"308" "chr1" 54350822 54351222 3 5 7 12 21 5 "Ccdc150"
"309" "chr1" 54487301 54487701 27 41 51 28 46 26 "Pgap1"
"310" "chr1" 54516618 54517018 25 37 39 31 17 26 "Pgap1"
"311" "chr1" 54517301 54518330 296 357 444 332 200 387 "Pgap1"
"312" "chr1" 54518378 54519305 186 216 244 223 150 164 "Pgap1"
"313" "chr1" 55238588 55238988 588 508 491 890 1039 553 "Mars2"
"314" "chr1" 55315681 55316081 9 10 8 7 9 10 "Boll"
"315" "chr1" 55324755 55325429 126 81 127 86 53 50 "Boll"
"316" "chr1" 55461366 55461766 20 15 39 25 42 44 "Plcl1"
"317" "chr1" 56795463 56795863 38 38 48 112 117 60 "Satb2"
"318" "chr1" 56796292 56797066 100 130 149 195 215 124 "Satb2"
"319" "chr1" 56971986 56972386 24 21 42 38 51 28 "9130024F11Rik"
"320" "chr1" 57382802 57383429 198 147 165 215 287 144 "1700066M21Rik"
"321" "chr1" 57388259 57388659 65 58 73 209 128 89 "Tyw5"
"322" "chr1" 57956105 57956505 33 35 37 76 57 24 "Kctd18"
"323" "chr1" 58015807 58016207 743 789 797 1107 1095 746 "Sgol2a"
"324" "chr1" 58016368 58016768 2013 2266 2562 3084 2097 2203 "Sgol2a"
"325" "chr1" 58016799 58017199 231 224 286 359 325 252 "Sgol2a"
"326" "chr1" 58017368 58017768 844 754 844 1343 1089 873 "Sgol2a"
"327" "chr1" 58019424 58019824 220 233 263 284 150 236 "Sgol2a"
"328" "chr1" 58321362 58321762 14 6 16 18 6 5 "Aox2"
"329" "chr1" 58447636 58448036 106 93 105 329 174 126 "Nif3l1"
"330" "chr1" 58461357 58462235 307 329 326 691 438 241 "Nif3l1"
"331" "chr1" 58463468 58464309 671 675 684 1516 1120 539 "Orc2"
"332" "chr1" 58529601 58530316 381 460 545 373 471 362 "Fam126b"
"333" "chr1" 58726242 58726830 92 81 90 64 34 26 "Cflar"
"334" "chr1" 58902988 58903667 673 559 806 1385 1361 624 "Trak2"
"335" "chr1" 58939538 58939938 1 3 6 7 3 7 "Trak2"
"336" "chr1" 58940129 58940529 21 30 60 24 28 42 "Trak2"
"337" "chr1" 58940588 58940988 18 25 35 25 56 33 "Trak2"
"338" "chr1" 59162902 59163302 200 193 235 193 206 93 "Mpp4"
"339" "chr1" 59162902 59163302 200 193 235 193 206 93 "Als2"
"340" "chr1" 59163834 59164234 237 168 246 316 301 142 "Als2"
"341" "chr1" 59215324 59216171 441 455 520 462 510 294 "Als2"
"342" "chr1" 59482219 59482619 960 1158 1416 1049 1805 852 "Fzd7"
"343" "chr1" 59483314 59484069 788 808 1107 566 867 671 "Fzd7"
"344" "chr1" 59484363 59485080 9132 10046 13851 7270 13903 6302 "Fzd7"
"345" "chr1" 59632083 59632483 6 5 15 46 41 34 "Gm973"
"346" "chr1" 59639526 59639926 729 597 710 2130 1559 598 "Sumo1"
"347" "chr1" 59708854 59709254 624 470 498 2050 1059 485 "Nop58"
"348" "chr1" 59710300 59710700 2627 2212 2089 7380 3726 2543 "Nop58"
"349" "chr1" 59867758 59868158 376 346 497 617 643 616 "Bmpr2"
"350" "chr1" 59868285 59868685 208 243 298 209 207 219 "Bmpr2"
"351" "chr1" 59870334 59870734 46 81 71 82 86 90 "Bmpr2"
"352" "chr1" 59954884 59955284 4 9 4 10 20 5 "Fam117b"
"353" "chr1" 59956241 59956641 8 4 14 7 0 13 "Fam117b"
"354" "chr1" 59981824 59982224 324 299 343 572 459 231 "Fam117b"
"355" "chr1" 60114088 60114488 10 12 17 16 81 19 "Carf"
"356" "chr1" 60132483 60132883 7 10 6 9 7 3 "Carf"
"357" "chr1" 60147909 60148309 49 41 60 46 19 8 "Carf"
"358" "chr1" 60207853 60208253 100 75 124 103 108 66 "Nbeal1"
"359" "chr1" 60235175 60235575 71 75 99 25 37 52 "Nbeal1"
"360" "chr1" 60260329 60260729 85 77 101 79 104 73 "Nbeal1"
"361" "chr1" 60326902 60327689 115 117 154 169 138 125 "Nbeal1"
"362" "chr1" 60476949 60477349 263 275 307 637 659 316 "Abi2"
"363" "chr1" 60488178 60488578 664 602 806 1169 997 812 "Raph1"
"364" "chr1" 60525600 60526000 493 523 527 658 688 533 "Raph1"
"365" "chr1" 62703381 62703781 11 19 18 31 85 56 "Nrp2"
"366" "chr1" 62703862 62704262 172 183 198 494 748 557 "Nrp2"
